track_no,title,performed_by,genre_a,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,cluster,cluster_no
172,Festa no Quintal/Vai com deus ..,Turma do Pagode,3,pagode,0.536,0.633,1,-7.235,1,0.0861,0.677,0,0.129,0.858,124.938,audio_features,4lh1aiECYJb4Sls6Ib5F9D,spotify:track:4lh1aiECYJb4Sls6Ib5F9D,https://api.spotify.com/v1/tracks/4lh1aiECYJb4Sls6Ib5F9D,https://api.spotify.com/v1/audio-analysis/4lh1aiECYJb4Sls6Ib5F9D,716250,4,a,0
173,Sobrenome,"Vitinho, Pericles",3,pagode,0.631,0.726,0,-5.474,1,0.0356,0.648,0,0.987,0.734,141.947,audio_features,5U2HuHCEa57rYABlR5rTOZ,spotify:track:5U2HuHCEa57rYABlR5rTOZ,https://api.spotify.com/v1/tracks/5U2HuHCEa57rYABlR5rTOZ,https://api.spotify.com/v1/audio-analysis/5U2HuHCEa57rYABlR5rTOZ,192254,4,h,7
174,Bye Bye,Vou pro sereno,3,pagode,0.476,0.748,2,-5.757,1,0.0392,0.514,0,0.898,0.51,88.169,audio_features,442MvicuTZiHtBXajsf4A4,spotify:track:442MvicuTZiHtBXajsf4A4,https://api.spotify.com/v1/tracks/442MvicuTZiHtBXajsf4A4,https://api.spotify.com/v1/audio-analysis/442MvicuTZiHtBXajsf4A4,200922,4,h,7
175,Tao Linda,Atitude 67,3,pagode,0.877,0.557,9,-9.074,1,0.0911,0.169,0,0.265,0.829,152.874,audio_features,59WWulo1LM0njpIkcduCMn,spotify:track:59WWulo1LM0njpIkcduCMn,https://api.spotify.com/v1/tracks/59WWulo1LM0njpIkcduCMn,https://api.spotify.com/v1/audio-analysis/59WWulo1LM0njpIkcduCMn,147843,4,j,9
176,Nao volto atras,"Gaab, Dilsinho",3,pagode,0.677,0.625,7,-7.389,1,0.0489,0.746,0,0.129,0.548,142.004,audio_features,3yP5tFW7SH59VwjLqp1Fk5,spotify:track:3yP5tFW7SH59VwjLqp1Fk5,https://api.spotify.com/v1/tracks/3yP5tFW7SH59VwjLqp1Fk5,https://api.spotify.com/v1/audio-analysis/3yP5tFW7SH59VwjLqp1Fk5,244632,4,a,0
177,Dorme com deus,"Ta na Mente, Péricles",3,pagode,0.598,0.711,1,-6.408,1,0.052,0.594,0,0.9,0.607,145.844,audio_features,29x19EWLWMB1sn8WD5iynZ,spotify:track:29x19EWLWMB1sn8WD5iynZ,https://api.spotify.com/v1/tracks/29x19EWLWMB1sn8WD5iynZ,https://api.spotify.com/v1/audio-analysis/29x19EWLWMB1sn8WD5iynZ,215555,4,h,7
178,Amor em braile,Pixote,3,pagode,0.653,0.847,5,-7.326,0,0.0465,0.682,0,0.728,0.851,164.06,audio_features,3LgguNfNZVibOdHwJ3pAOm,spotify:track:3LgguNfNZVibOdHwJ3pAOm,https://api.spotify.com/v1/tracks/3LgguNfNZVibOdHwJ3pAOm,https://api.spotify.com/v1/audio-analysis/3LgguNfNZVibOdHwJ3pAOm,173283,4,e,4
179,De repente vem voce,"Ferrugem, Belo",3,pagode,0.333,0.744,7,-5.285,1,0.074,0.495,0,0.971,0.644,159.772,audio_features,35NaAQcpPAdSmYGuqKEuOI,spotify:track:35NaAQcpPAdSmYGuqKEuOI,https://api.spotify.com/v1/tracks/35NaAQcpPAdSmYGuqKEuOI,https://api.spotify.com/v1/audio-analysis/35NaAQcpPAdSmYGuqKEuOI,215560,4,h,7
180,Marra de durao,Grupo Clareou,3,pagode,0.573,0.758,5,-7.997,0,0.0336,0.502,0,0.98,0.823,159.958,audio_features,7g1HOdrkEpyX039t4jdL9P,spotify:track:7g1HOdrkEpyX039t4jdL9P,https://api.spotify.com/v1/tracks/7g1HOdrkEpyX039t4jdL9P,https://api.spotify.com/v1/audio-analysis/7g1HOdrkEpyX039t4jdL9P,182923,4,e,4
181,A fila anda,Thiaguinho,3,pagode,0.751,0.697,0,-8.012,1,0.0581,0.223,0,0.924,0.555,141.427,audio_features,4pl0csAczZemDLdyNYOmxT,spotify:track:4pl0csAczZemDLdyNYOmxT,https://api.spotify.com/v1/tracks/4pl0csAczZemDLdyNYOmxT,https://api.spotify.com/v1/audio-analysis/4pl0csAczZemDLdyNYOmxT,177805,4,h,7
